year;population_count;country_code
2014;33370794;AFG
2015;34413603;AFG
2016;35383128;AFG
2017;36296400;AFG
1960;5454933;AGO
1961;5531472;AGO
1962;5608539;AGO
1963;5679458;AGO
1964;5735044;AGO
1965;5770570;AGO
1966;5781214;AGO
1967;5774243;AGO
1968;5771652;AGO
1969;5803254;AGO
1970;5890365;AGO
1971;6040777;AGO
1972;6248552;AGO
1973;6496962;AGO
1974;6761380;AGO
1975;7024000;AGO
1976;7279509;AGO
1977;7533735;AGO
1978;7790707;AGO
1979;8058067;AGO
1980;8341289;AGO
1981;8640446;AGO
1982;8952950;AGO
1983;9278096;AGO
1984;9614754;AGO
1985;9961997;AGO
1986;10320111;AGO
1987;10689250;AGO
1988;11068050;AGO
1989;11454777;AGO
1990;11848386;AGO
1991;12248901;AGO
1992;12657366;AGO
1993;13075049;AGO
1994;13503747;AGO
1995;13945206;AGO
1996;14400719;AGO
1997;14871570;AGO
1998;15359601;AGO
1999;15866869;AGO
2000;16395473;AGO
2001;16945753;AGO
2002;17519417;AGO
2003;18121479;AGO
2004;18758145;AGO
2005;19433602;AGO
2006;20149901;AGO
2007;20905363;AGO
2008;21695634;AGO
2009;22514281;AGO
2010;23356246;AGO
2011;24220661;AGO
2012;25107931;AGO
2013;26015780;AGO
2014;26941779;AGO
2015;27884381;AGO
2016;28842484;AGO
2017;29816748;AGO
1960;1608800;ALB
1961;1659800;ALB
1962;1711319;ALB
1963;1762621;ALB
1964;1814135;ALB
1965;1864791;ALB
1966;1914573;ALB
1967;1965598;ALB
1968;2022272;ALB
1969;2081695;ALB
1970;2135479;ALB
1971;2187853;ALB
1972;2243126;ALB
1973;2296752;ALB
1974;2350124;ALB
1975;2404831;ALB
1976;2458526;ALB
1977;2513546;ALB
1978;2566266;ALB
1979;2617832;ALB
1980;2671997;ALB
1981;2726056;ALB
1982;2784278;ALB
1983;2843960;ALB
1984;2904429;ALB
1985;2964762;ALB
1986;3022635;ALB
1987;3083605;ALB
1988;3142336;ALB
1989;3227943;ALB
1990;3286542;ALB
1991;3266790;ALB
1992;3247039;ALB
1993;3227287;ALB
1994;3207536;ALB
1995;3187784;ALB
1996;3168033;ALB
1997;3148281;ALB
1998;3128530;ALB
1999;3108778;ALB
2000;3089027;ALB
2001;3060173;ALB
2002;3051010;ALB
2003;3039616;ALB
2004;3026939;ALB
2005;3011487;ALB
2006;2992547;ALB
2007;2970017;ALB
2008;2947314;ALB
2009;2927519;ALB
2010;2913021;ALB
2011;2905195;ALB
2012;2900401;ALB
2013;2895092;ALB
2014;2889104;ALB
2015;2880703;ALB
2016;2876101;ALB
2017;2873457;ALB
1960;13411;AND
1961;14375;AND
1962;15370;AND
1963;16412;AND
1964;17469;AND
1965;18549;AND
1966;19647;AND
1967;20758;AND
1968;21890;AND
1969;23058;AND
1970;24276;AND
1971;25559;AND
1972;26892;AND
1973;28232;AND
1974;29520;AND
1975;30705;AND
1976;31777;AND
1977;32771;AND
1978;33737;AND
1979;34818;AND
1980;36067;AND
1981;37500;AND
1982;39114;AND
1983;40867;AND
1984;42706;AND
1985;44600;AND
1986;46517;AND
1987;48455;AND
1988;50434;AND
1989;52448;AND
1990;54509;AND
1991;56671;AND
1992;58888;AND
1993;60971;AND
1994;62677;AND
1995;63850;AND
1996;64360;AND
1997;64327;AND
1998;64142;AND
1999;64370;AND
2000;65390;AND
2001;67341;AND
2002;70049;AND
2003;73182;AND
2004;76244;AND
2005;78867;AND
2006;80993;AND
2007;82684;AND
2008;83862;AND
2009;84463;AND
2010;84449;AND
2011;83747;AND
2012;82427;AND
2013;80774;AND
2014;79213;AND
2015;78011;AND
2016;77297;AND
2017;77001;AND
1960;92418;ARE
1961;100796;ARE
1962;112118;ARE
1963;125130;ARE
1964;138039;ARE
1965;149857;ARE
1966;159976;ARE
1967;169771;ARE
1968;182627;ARE
1969;203106;ARE
1970;234514;ARE
1971;277471;ARE
1972;330974;ARE
1973;394624;ARE
1974;467451;ARE
1975;548301;ARE
1976;637922;ARE
1977;735344;ARE
1978;835508;ARE
1979;931749;ARE
1980;1019509;ARE
1981;1096610;ARE
1982;1164806;ARE
1983;1228459;ARE
1984;1293971;ARE
1985;1366164;ARE
1986;1446380;ARE
1987;1533536;ARE
1988;1627066;ARE
1989;1725681;ARE
1990;1828432;ARE
1991;1937153;ARE
1992;2052891;ARE
1993;2173139;ARE
1994;2294385;ARE
1995;2415090;ARE
1996;2539126;ARE
1997;2671362;ARE
1998;2813214;ARE
1999;2966034;ARE
2000;3134062;ARE
2001;3302719;ARE
2002;3478777;ARE
2003;3711932;ARE
2004;4068570;ARE
2005;4588225;ARE
2006;5300174;ARE
2007;6168838;ARE
2008;7089487;ARE
2009;7917372;ARE
2010;8549988;ARE
2011;8946777;ARE
2012;9141596;ARE
2013;9197910;ARE
2014;9214175;ARE
2015;9262900;ARE
2016;9360980;ARE
2017;9487203;ARE
1960;20481779;ARG
1961;20817266;ARG
1962;21153052;ARG
1963;21488912;ARG
1964;21824425;ARG
1965;22159650;ARG
1966;22494035;ARG
1967;22828869;ARG
1968;23168267;ARG
1969;23517611;ARG
1970;23880561;ARG
1971;24259561;ARG
1972;24653175;ARG
1973;25056478;ARG
1974;25462302;ARG
1975;25865776;ARG
1976;26264681;ARG
1977;26661398;ARG
1978;27061047;ARG
1979;27471036;ARG
1980;27896528;ARG
1981;28338515;ARG
1982;28794548;ARG
1983;29262047;ARG
1984;29737093;ARG
1985;30216279;ARG
1986;30698964;ARG
1987;31184415;ARG
1988;31668949;ARG
1989;32148134;ARG
1990;32618651;ARG
1991;33079000;ARG
1992;33529326;ARG
1993;33970111;ARG
1994;34402672;ARG
1995;34828170;ARG
1996;35246374;ARG
1997;35657429;ARG
1998;36063459;ARG
1999;36467218;ARG
2000;36870787;ARG
2001;37275652;ARG
2002;37681749;ARG
2003;38087868;ARG
2004;38491972;ARG
2005;38892931;ARG
2006;39289878;ARG
2007;39684295;ARG
2008;40080160;ARG
2009;40482788;ARG
2010;40788453;ARG
2011;41261490;ARG
2012;41733271;ARG
2013;42202935;ARG
2014;42669500;ARG
2015;43131966;ARG
2016;43590368;ARG
2017;44044811;ARG
1960;1874121;ARM
1961;1941492;ARM
1962;2009526;ARM
1963;2077578;ARM
1964;2145001;ARM
1965;2211319;ARM
1966;2276034;ARM
1967;2339127;ARM
1968;2401143;ARM
1969;2462928;ARM
1970;2525068;ARM
1971;2587708;ARM
1972;2650486;ARM
1973;2712786;ARM
1974;2773748;ARM
1975;2832759;ARM
1976;2889579;ARM
1977;2944383;ARM
1978;2997417;ARM
1979;3049109;ARM
1980;3099754;ARM
1981;3148096;ARM
1982;3193689;ARM
1983;3238595;ARM
1984;3285599;ARM
1985;3335940;ARM
1986;3392264;ARM
1987;3451947;ARM
1988;3504659;ARM
1989;3536474;ARM
1990;3538171;ARM
1991;3505258;ARM
1992;3442817;ARM
1993;3363108;ARM
1994;3283667;ARM
1995;3217348;ARM
1996;3168221;ARM
1997;3133089;ARM
1998;3108687;ARM
1999;3089022;ARM
2000;3069591;ARM
2001;3050687;ARM
2002;3033978;ARM
2003;3017932;ARM
2004;3000720;ARM
2005;2981269;ARM
2006;2958307;ARM
2007;2932618;ARM
2008;2907618;ARM
2009;2888092;ARM
2010;2877319;ARM
2011;2876538;ARM
2012;2884229;ARM
2013;2897584;ARM
2014;2912403;ARM
2015;2925553;ARM
2016;2936146;ARM
2017;2944809;ARM
1960;20123;ASM
1961;20602;ASM
1962;21253;ASM
1963;22034;ASM
1964;22854;ASM
1965;23672;ASM
1966;24462;ASM
1967;25248;ASM
1968;25989;ASM
1969;26703;ASM
1970;27363;ASM
1971;27984;ASM
1972;28567;ASM
1973;29100;ASM
1974;29596;ASM
1975;30052;ASM
1976;30456;ASM
1977;30838;ASM
1978;31269;ASM
1979;31845;ASM
1980;32646;ASM
1981;33701;ASM
1982;34968;ASM
1983;36412;ASM
1984;37946;ASM
1985;39519;ASM
1986;41119;ASM
1987;42740;ASM
1988;44343;ASM
1989;45894;ASM
1990;47347;ASM
1991;48685;ASM
1992;49896;ASM
1993;51020;ASM
1994;52095;ASM
1995;53161;ASM
1996;54211;ASM
1997;55221;ASM
1998;56171;ASM
1999;57053;ASM
2000;57821;ASM
2001;58494;ASM
2002;59080;ASM
2003;59504;ASM
2004;59681;ASM
2005;59562;ASM
2006;59107;ASM
2007;58365;ASM
2008;57492;ASM
2009;56683;ASM
2010;56079;ASM
2011;55759;ASM
2012;55667;ASM
2013;55713;ASM
2014;55791;ASM
2015;55812;ASM
2016;55741;ASM
2017;55620;ASM
1960;54131;ATG
1961;55001;ATG
1962;55841;ATG
1963;56702;ATG
1964;57641;ATG
1965;58698;ATG
1966;59915;ATG
1967;61241;ATG
1968;62521;ATG
1969;63550;ATG
1970;64177;ATG
1971;64357;ATG
1972;64133;ATG
1973;63650;ATG
1974;63120;ATG
1975;62675;ATG
1976;62367;ATG
1977;62159;ATG
1978;62036;ATG
1979;61952;ATG
1980;61865;ATG
1981;61800;ATG
1982;61779;ATG
1983;61787;ATG
1984;61786;ATG
1985;61786;ATG
1986;61754;ATG
1987;61717;ATG
1988;61771;ATG
1989;62008;ATG
1990;62528;ATG
1991;63367;ATG
1992;64471;ATG
1993;65777;ATG
1994;67204;ATG
1995;68670;ATG
1996;70173;ATG
1997;71704;ATG
1998;73224;ATG
1999;74674;ATG
2000;76016;ATG
2001;77212;ATG
2002;78295;ATG
2003;79300;ATG
2004;80336;ATG
2005;81465;ATG
2006;82704;ATG
2007;84026;ATG
2008;85397;ATG
2009;86746;ATG
2010;88028;ATG
2011;89253;ATG
2012;90409;ATG
2013;91516;ATG
2014;92562;ATG
2015;93566;ATG
2016;94527;ATG
2017;95426;ATG
1960;10276477;AUS
1961;10483000;AUS
1962;10742000;AUS
1963;10950000;AUS
1964;11167000;AUS
1965;11388000;AUS
1966;11651000;AUS
1967;11799000;AUS
1968;12009000;AUS
1969;12263000;AUS
1970;12507000;AUS
1971;12937000;AUS
1972;13177000;AUS
1973;13380000;AUS
1974;13723000;AUS
1975;13893000;AUS
1976;14033000;AUS
1977;14192000;AUS
1978;14358000;AUS
1979;14514000;AUS
1980;14692000;AUS
1981;14927000;AUS
1982;15178000;AUS
1983;15369000;AUS
1984;15544000;AUS
1985;15758000;AUS
1986;16018400;AUS
1987;16263900;AUS
1988;16532200;AUS
1989;16814400;AUS
1990;17065100;AUS
1991;17284000;AUS
1992;17495000;AUS
1993;17667000;AUS
1994;17855000;AUS
1995;18072000;AUS
1996;18311000;AUS
1997;18517000;AUS
1998;18711000;AUS
1999;18926000;AUS
2000;19153000;AUS
2001;19413000;AUS
2002;19651400;AUS
2003;19895400;AUS
2004;20127400;AUS
2005;20394800;AUS
2006;20697900;AUS
2007;20827600;AUS
2008;21249200;AUS
2009;21691700;AUS
2010;22031750;AUS
2011;22340024;AUS
2012;22733465;AUS
2013;23128129;AUS
2014;23475686;AUS
2015;23815995;AUS
2016;24190907;AUS
2017;24601860;AUS
1960;7047539;AUT
1961;7086299;AUT
1962;7129864;AUT
1963;7175811;AUT
1964;7223801;AUT
1965;7270889;AUT
1966;7322066;AUT
1967;7376998;AUT
1968;7415403;AUT
1969;7441055;AUT
1970;7467086;AUT
1971;7500482;AUT
1972;7544201;AUT
1973;7586115;AUT
1974;7599038;AUT
1975;7578903;AUT
1976;7565525;AUT
1977;7568430;AUT
1978;7562305;AUT
1979;7549425;AUT
1980;7549433;AUT
1981;7568710;AUT
1982;7574140;AUT
1983;7561910;AUT
1984;7561434;AUT
1985;7564985;AUT
1986;7569794;AUT
1987;7574586;AUT
1988;7585317;AUT
1989;7619567;AUT
1990;7677850;AUT
1991;7754891;AUT
1992;7840709;AUT
1993;7905633;AUT
1994;7936118;AUT
1995;7948278;AUT
1996;7959017;AUT
1997;7968041;AUT
1998;7976789;AUT
1999;7992324;AUT
2000;8011566;AUT
2001;8042293;AUT
2002;8081957;AUT
2003;8121423;AUT
2004;8171966;AUT
2005;8227829;AUT
2006;8268641;AUT
2007;8295487;AUT
2008;8321496;AUT
2009;8343323;AUT
2010;8363404;AUT
2011;8391643;AUT
2012;8429991;AUT
2013;8479823;AUT
2014;8546356;AUT
2015;8642699;AUT
2016;8736668;AUT
2017;8797566;AUT
1960;3895397;AZE
1961;4030322;AZE
1962;4171426;AZE
1963;4315127;AZE
1964;4456687;AZE
1965;4592609;AZE
1966;4721523;AZE
1967;4843868;AZE
1968;4960232;AZE
1969;5071927;AZE
1970;5180023;AZE
1971;5284531;AZE
1972;5385263;AZE
1973;5483082;AZE
1974;5579072;AZE
1975;5674133;AZE
1976;5768721;AZE
1977;5863132;AZE
1978;5957925;AZE
1979;6053640;AZE
1980;6150733;AZE
1981;6249314;AZE
1982;6349553;AZE
1983;6452069;AZE
1984;6557581;AZE
1985;6666447;AZE
1986;6778624;AZE
1987;6893489;AZE
1988;7010027;AZE
1989;7126881;AZE
1990;7159000;AZE
1991;7271000;AZE
1992;7382000;AZE
1993;7495000;AZE
1994;7597000;AZE
1995;7685000;AZE
1996;7763000;AZE
1997;7838250;AZE
1998;7913000;AZE
1999;7982750;AZE
2000;8048600;AZE
2001;8111200;AZE
2002;8171950;AZE
2003;8234100;AZE
2004;8306500;AZE
2005;8391850;AZE
2006;8484550;AZE
2007;8581300;AZE
2008;8763400;AZE
2009;8947243;AZE
2010;9054332;AZE
2011;9173082;AZE
2012;9295784;AZE
2013;9416801;AZE
2014;9535079;AZE
2015;9649341;AZE
2016;9757812;AZE
2017;9854033;AZE
1960;2797932;BDI
1961;2852438;BDI
1962;2907321;BDI
1963;2964427;BDI
1964;3026290;BDI
1965;3094379;BDI
1966;3170490;BDI
1967;3253218;BDI
1968;3336927;BDI
1969;3413904;BDI
1970;3479074;BDI
1971;3529997;BDI
1972;3569666;BDI
1973;3605126;BDI
1974;3646431;BDI
1975;3700880;BDI
1976;3770871;BDI
1977;3854445;BDI
1978;3949266;BDI
1979;4051234;BDI
1980;4157298;BDI
1981;4266520;BDI
1982;4379724;BDI
1983;4497533;BDI
1984;4621103;BDI
1985;4750837;BDI
1986;4886743;BDI
1987;5027138;BDI
1988;5168698;BDI
1989;5307069;BDI
1990;5438957;BDI
1991;5564926;BDI
1992;5685565;BDI
1993;5798053;BDI
1994;5898967;BDI
1995;5987043;BDI
1996;6060111;BDI
1997;6122130;BDI
1998;6185562;BDI
1999;6267124;BDI
2000;6378871;BDI
2001;6525545;BDI
2002;6704113;BDI
2003;6909154;BDI
2004;7131693;BDI
2005;7364862;BDI
2006;7607849;BDI
2007;7862214;BDI
2008;8126102;BDI
2009;8397668;BDI
2010;8675602;BDI
2011;8958406;BDI
2012;9245988;BDI
2013;9540289;BDI
2014;9844297;BDI
2015;10160030;BDI
2016;10487998;BDI
2017;10827024;BDI
1960;9153489;BEL
1961;9183948;BEL
1962;9220578;BEL
1963;9289770;BEL
1964;9378113;BEL
1965;9463667;BEL
1966;9527807;BEL
1967;9580991;BEL
1968;9618756;BEL
1969;9646032;BEL
1970;9655549;BEL
1971;9673162;BEL
1972;9711115;BEL
1973;9741720;BEL
1974;9772419;BEL
1975;9800700;BEL
1976;9818227;BEL
1977;9830358;BEL
1978;9839534;BEL
1979;9848382;BEL
1980;9859242;BEL
1981;9858982;BEL
1982;9856303;BEL
1983;9855520;BEL
1984;9855372;BEL
1985;9858308;BEL
1986;9861823;BEL
1987;9870234;BEL
1988;9901664;BEL
1989;9937697;BEL
1990;9967379;BEL
1991;10004486;BEL
1992;10045158;BEL
1993;10084475;BEL
1994;10115603;BEL
1995;10136811;BEL
1996;10156637;BEL
1997;10181245;BEL
1998;10203008;BEL
1999;10226419;BEL
2000;10251250;BEL
2001;10286570;BEL
2002;10332785;BEL
2003;10376133;BEL
2004;10421137;BEL
2005;10478617;BEL
2006;10547958;BEL
2007;10625700;BEL
2008;10709973;BEL
2009;10796493;BEL
2010;10895586;BEL
2011;11038264;BEL
2012;11106932;BEL
2013;11159407;BEL
2014;11209057;BEL
2015;11274196;BEL
2016;11331422;BEL
2017;11375158;BEL
1960;2431622;BEN
1961;2465867;BEN
1962;2502896;BEN
1963;2542859;BEN
1964;2585965;BEN
1965;2632356;BEN
1966;2682159;BEN
1967;2735307;BEN
1968;2791590;BEN
1969;2850661;BEN
1970;2912340;BEN
1971;2976572;BEN
1972;3043567;BEN
1973;3113675;BEN
1974;3187412;BEN
1975;3265165;BEN
1976;3347173;BEN
1977;3433439;BEN
1978;3523938;BEN
1979;3618526;BEN
1980;3717165;BEN
1981;3820128;BEN
1982;3927714;BEN
1983;4039949;BEN
1984;4156819;BEN
1985;4278501;BEN
1986;4404506;BEN
1987;4535263;BEN
1988;4672852;BEN
1989;4820016;BEN
1990;4978496;BEN
1991;5149499;BEN
1992;5331803;BEN
1993;5521763;BEN
1994;5714220;BEN
1995;5905558;BEN
1996;6094259;BEN
1997;6281639;BEN
1998;6470265;BEN
1999;6664098;BEN
2000;6865951;BEN
2001;7076733;BEN
2002;7295394;BEN
2003;7520555;BEN
2004;7750004;BEN
2005;7982225;BEN
2006;8216897;BEN
2007;8454793;BEN
2008;8696921;BEN
2009;8944708;BEN
2010;9199259;BEN
2011;9460830;BEN
2012;9729248;BEN
2013;10004588;BEN
2014;10286842;BEN
2015;10575952;BEN
2016;10872067;BEN
2017;11175204;BEN
1960;4829288;BFA
1961;4894580;BFA
1962;4960326;BFA
1963;5027821;BFA
1964;5098890;BFA
1965;5174870;BFA
1966;5256363;BFA
1967;5343019;BFA
1968;5434041;BFA
1969;5528174;BFA
1970;5624600;BFA
1971;5723381;BFA
1972;5825173;BFA
1973;5930483;BFA
1974;6040041;BFA
1975;6154545;BFA
1976;6274037;BFA
1977;6398935;BFA
1978;6530819;BFA
1979;6671656;BFA
1980;6822843;BFA
1981;6985160;BFA
1982;7158255;BFA
1983;7340905;BFA
1984;7531242;BFA
1985;7727907;BFA
1986;7930694;BFA
1987;8140073;BFA
1988;8356305;BFA
1989;8579823;BFA
1990;8811034;BFA
1991;9050084;BFA
1992;9297113;BFA
1993;9552476;BFA
1994;9816588;BFA
1995;10089878;BFA
1996;10372745;BFA
1997;10665546;BFA
1998;10968724;BFA
1999;11282701;BFA
2000;11607942;BFA
2001;11944587;BFA
2002;12293100;BFA
2003;12654621;BFA
2004;13030569;BFA
2005;13421930;BFA
2006;13829176;BFA
2007;14252021;BFA
2008;14689725;BFA
2009;15141098;BFA
2010;15605217;BFA
2011;16081911;BFA
2012;16571246;BFA
2013;17072775;BFA
2014;17586017;BFA
2015;18110624;BFA
2016;18646378;BFA
2017;19193284;BFA
1960;48013504;BGD
1961;49362843;BGD
1962;50752157;BGD
1963;52202007;BGD
1964;53741716;BGD
1965;55385112;BGD
1966;57157654;BGD
1967;59034249;BGD
1968;60918454;BGD
1969;62679765;BGD
1970;64232482;BGD
1971;65531633;BGD
1972;66625705;BGD
1973;67637530;BGD
1974;68742233;BGD
1975;70066301;BGD
1976;71652381;BGD
1977;73463584;BGD
1978;75450032;BGD
1979;77529045;BGD
1980;79639491;BGD
1981;81767515;BGD
1982;83932127;BGD
1983;86142495;BGD
1984;88416521;BGD
1985;90764183;BGD
1986;93187603;BGD
1987;95671163;BGD
1988;98186350;BGD
1989;100695497;BGD
1990;103171956;BGD
1991;105599127;BGD
1992;107983704;BGD
1993;110350639;BGD
1994;112737683;BGD
1995;115169930;BGD
1996;117649932;BGD
1997;120160564;BGD
1998;122682815;BGD
1999;125189651;BGD
2000;127657854;BGD
2001;130088702;BGD
2002;132478086;BGD
2003;134791603;BGD
2004;136986432;BGD
2005;139035505;BGD
2006;140921167;BGD
2007;142660376;BGD
2008;144304167;BGD
2009;145924797;BGD
2010;147575430;BGD
2011;149273778;BGD
2012;151007807;BGD
2013;152764676;BGD
2014;154520167;BGD
2015;156256276;BGD
2016;157970840;BGD
2017;159670593;BGD
1960;7867374;BGR
1961;7943118;BGR
1962;8012946;BGR
1963;8078145;BGR
1964;8144340;BGR
1965;8204168;BGR
1966;8258057;BGR
1967;8310226;BGR
1968;8369603;BGR
1969;8434172;BGR
1970;8489574;BGR
1971;8536395;BGR
1972;8576200;BGR
1973;8620967;BGR
1974;8678745;BGR
1975;8720742;BGR
1976;8758599;BGR
1977;8804183;BGR
1978;8814032;BGR
1979;8825940;BGR
1980;8861535;BGR
1981;8891117;BGR
1982;8917457;BGR
1983;8939738;BGR
1984;8960679;BGR
1985;8960547;BGR
1986;8958171;BGR
1987;8971359;BGR
1988;8981446;BGR
1989;8876972;BGR
1990;8718289;BGR
1991;8632367;BGR
1992;8540164;BGR
1993;8472313;BGR
1994;8443591;BGR
1995;8406067;BGR
1996;8362826;BGR
1997;8312068;BGR
1998;8256786;BGR
1999;8210624;BGR
2000;8170172;BGR
2001;8009142;BGR
2002;7837161;BGR
2003;7775327;BGR
2004;7716860;BGR
2005;7658972;BGR
2006;7601022;BGR
2007;7545338;BGR
2008;7492561;BGR
2009;7444443;BGR
2010;7395599;BGR
2011;7348328;BGR
2012;7305888;BGR
2013;7265115;BGR
2014;7223938;BGR
2015;7177991;BGR
2016;7127822;BGR
2017;7075947;BGR
1960;162427;BHR
1961;167894;BHR
1962;173144;BHR
1963;178140;BHR
1964;182887;BHR
1965;187431;BHR
1966;191780;BHR
1967;196063;BHR
1968;200653;BHR
1969;206043;BHR
1970;212605;BHR
1971;220312;BHR
1972;229155;BHR
1973;239527;BHR
1974;251911;BHR
1975;266543;BHR
1976;283752;BHR
1977;303175;BHR
1978;323473;BHR
1979;342799;BHR
1980;359888;BHR
1981;374120;BHR
1982;385950;BHR
1983;396454;BHR
1984;407225;BHR
1985;419428;BHR
1986;433480;BHR
1987;448971;BHR
1988;465198;BHR
1989;481087;BHR
1990;495931;BHR
1991;509760;BHR
1992;523086;BHR
1993;536210;BHR
1994;549583;BHR
1995;563697;BHR
1996;578666;BHR
1997;594931;BHR
1998;613700;BHR
1999;636541;BHR
2000;664611;BHR
2001;697545;BHR
2002;735146;BHR
2003;778708;BHR
2004;829844;BHR
2005;889164;BHR
2006;958418;BHR
2007;1035919;BHR
2008;1114641;BHR
2009;1185076;BHR
2010;1240860;BHR
2011;1278151;BHR
2012;1299943;BHR
2013;1315029;BHR
2014;1336075;BHR
2015;1371851;BHR
2016;1425791;BHR
2017;1494074;BHR
1960;109534;BHS
1961;115121;BHS
1962;121091;BHS
1963;127339;BHS
1964;133709;BHS
1965;140059;BHS
1966;146382;BHS
1967;152620;BHS
1968;158648;BHS
1969;164268;BHS
1970;169377;BHS
1971;173889;BHS
1972;177866;BHS
1973;181517;BHS
1974;185120;BHS
1975;188896;BHS
1976;192909;BHS
1977;197101;BHS
1978;201478;BHS
1979;205984;BHS
1980;210591;BHS
1981;215326;BHS
1982;220184;BHS
1983;225084;BHS
1984;229923;BHS
1985;234578;BHS
1986;239017;BHS
1987;243271;BHS
1988;247451;BHS
1989;251733;BHS
1990;256223;BHS
1991;261008;BHS
1992;266029;BHS
1993;271069;BHS
1994;275846;BHS
1995;280184;BHS
1996;283978;BHS
1997;287358;BHS
1998;290597;BHS
1999;294062;BHS
2000;298051;BHS
2001;302618;BHS
2002;307660;BHS
2003;313129;BHS
2004;318894;BHS
2005;324859;BHS
2006;331033;BHS
2007;337389;BHS
2008;343681;BHS
2009;349604;BHS
2010;354942;BHS
2011;359577;BHS
2012;363584;BHS
2013;367168;BHS
2014;370633;BHS
2015;374206;BHS
2016;377931;BHS
2017;381761;BHS
1960;3225668;BIH
1961;3288603;BIH
1962;3353226;BIH
1963;3417574;BIH
1964;3478997;BIH
1965;3535643;BIH
1966;3586636;BIH
1967;3632672;BIH
1968;3675454;BIH
1969;3717468;BIH
1970;3760529;BIH
1971;3805287;BIH
1972;3851153;BIH
1973;3897256;BIH
1974;3942225;BIH
1975;3985105;BIH
1976;4025266;BIH
1977;4063193;BIH
1978;4100349;BIH
1979;4138819;BIH
1980;4179855;BIH
1981;4222471;BIH
1982;4265185;BIH
1983;4307905;BIH
1984;4350577;BIH
1985;4392131;BIH
1986;4435917;BIH
1987;4479519;BIH
1988;4509461;BIH
1989;4507824;BIH
1990;4463423;BIH
1991;4369319;BIH
1992;4233676;BIH
1993;4078937;BIH
1994;3936524;BIH
1995;3829050;BIH
1996;3764425;BIH
1997;3736070;BIH
1998;3734337;BIH
1999;3743354;BIH
2000;3751176;BIH
2001;3755512;BIH
2002;3759387;BIH
2003;3762173;BIH
2004;3764194;BIH
2005;3765331;BIH
2006;3765424;BIH
2007;3762786;BIH
2008;3754271;BIH
2009;3735938;BIH
2010;3705472;BIH
2011;3661175;BIH
2012;3604972;BIH
2013;3542605;BIH
2014;3482104;BIH
2015;3429361;BIH
2016;3386267;BIH
2017;3351527;BIH
1960;8198000;BLR
1961;8271216;BLR
1962;8351928;BLR
1963;8437232;BLR
1964;8524224;BLR
1965;8610000;BLR
1966;8696496;BLR
1967;8785648;BLR
1968;8874552;BLR
1969;8960304;BLR
1970;9040000;BLR
1971;9115576;BLR
1972;9188968;BLR
1973;9257272;BLR
1974;9317584;BLR
1975;9367000;BLR
1976;9411000;BLR
1977;9463000;BLR
1978;9525000;BLR
1979;9584000;BLR
1980;9643000;BLR
1981;9710000;BLR
1982;9776000;BLR
1983;9843000;BLR
1984;9910000;BLR
1985;9975000;BLR
1986;10043000;BLR
1987;10111000;BLR
1988;10140000;BLR
1989;10170000;BLR
1990;10189000;BLR
1991;10194000;BLR
