country_code;year;gdp_value
DZA;1970;4863487492.65763
DZA;1971;5077222366.97472
DZA;1972;6761786386.54713
DZA;1973;8715105930.49101
DZA;1974;13209713643.3219
DZA;1975;15557934268.4965
DZA;1976;17728347374.994
DZA;1977;20971901273.271
DZA;1978;26364491313.4471
DZA;1979;33243422157.6311
DZA;1980;42345277342.0195
DZA;1981;44348672667.8715
DZA;1982;45207088715.6483
DZA;1983;48801369800.3675
DZA;1984;53698278905.9678
DZA;1985;57937868670.1937
DZA;1986;63696301892.8116
DZA;1987;66742267773.1959
DZA;1988;59089067187.3943
DZA;1989;55631489801.5508
DZA;1990;62045099642.7774
DZA;1991;45715367087.1001
DZA;1992;48003298223.1178
DZA;1993;49946455210.966
DZA;1994;42542571305.5136
DZA;1995;41764052457.8814
DZA;1996;46941496779.8499
DZA;1997;48177862501.9495
DZA;1998;48187747528.899
DZA;1999;48640580406.7654
DZA;2000;54790233855.966
DZA;2001;54744725765.7191
DZA;2002;56760246981.7525
DZA;2003;67863841333.4195
DZA;2004;85325003122.0947
DZA;2005;103198251003.394
DZA;2006;117027321306.159
DZA;2007;134845573817.762
DZA;2008;171008067513.162
DZA;2009;137206139022.712
DZA;2010;161155315145.814
DZA;2011;200254371997.255
DZA;2012;209021250805.932
DZA;2013;209724351221.97
DZA;2014;213860450595.829
DZA;2015;166361491140.753
DZA;2016;159994837855.12
DZA;2017;170163165960.516
DZA;2018;175405660377.358
DZA;2019;171091289782.245
ASM;2002;514000000
ASM;2003;527000000
ASM;2004;512000000
ASM;2005;503000000
ASM;2006;496000000
ASM;2007;520000000
ASM;2008;563000000
ASM;2009;678000000
ASM;2010;576000000
ASM;2011;574000000
ASM;2012;644000000
ASM;2013;641000000
ASM;2014;642000000
ASM;2015;661000000
ASM;2016;652000000
ASM;2017;602000000
ASM;2018;636000000
AND;1970;78619206.0850963
AND;1971;89409820.3592814
AND;1972;113408231.944085
AND;1973;150820102.798401
AND;1974;186558696.279204
AND;1975;220127246.376812
AND;1976;227281024.620741
AND;1977;254020153.340635
AND;1978;308008897.569444
AND;1979;411578334.159643
AND;1980;446416105.825017
AND;1981;388958731.302938
AND;1982;375895956.383462
AND;1983;327861832.946636
AND;1984;330070689.298282
AND;1985;346737964.774951
AND;1986;482000594.03588
AND;1987;611316399.407088
AND;1988;721425939.15155
AND;1989;795449332.396346
AND;1990;1029048481.88051
AND;1991;1106928582.86629
AND;1992;1210013651.87713
AND;1993;1007025755.00065
AND;1994;1017549124.33238
AND;1995;1178738991.19295
AND;1996;1223945356.62682
AND;1997;1180597272.72727
AND;1998;1211932397.81713
AND;1999;1239876305.13531
AND;2000;1429049198.45218
AND;2001;1546926174.49664
AND;2002;1755910031.99699
AND;2003;2361726862.30248
AND;2004;2894921777.99851
AND;2005;3159905484.39249
AND;2006;3456442102.622
AND;2007;3952600602.24473
AND;2008;4085630584.44412
AND;2009;3674409558.21061
AND;2010;3449966856.68832
AND;2011;3629203786.19154
AND;2012;3188808942.56713
AND;2013;3193704343.20627
AND;2014;3271808157.30038
AND;2015;2789870187.50693
AND;2016;2896679211.86628
AND;2017;3000180750.11297
AND;2018;3218316013.22626
AND;2019;3154057987.23833
AGO;1980;5930503400.83228
AGO;1981;5550483035.90815
AGO;1982;5550483035.90815
AGO;1983;5784341596.36339
AGO;1984;6131475065.23832
AGO;1985;7553560459.10428
AGO;1986;7072063345.44786
AGO;1987;8083872012.47326
AGO;1988;8769250549.73596
AGO;1989;10201099039.5655
AGO;1990;11228764963.1618
AGO;1991;10603784541.197
AGO;1992;8307810973.58848
AGO;1993;5768720421.61367
AGO;1994;4438321017.39068
AGO;1995;5538749259.94714
AGO;1996;7526446605.51712
AGO;1997;7648377412.83277
AGO;1998;6506229607.29432
AGO;1999;6152922942.98032
AGO;2000;9129594818.60749
AGO;2001;8936063723.20121
AGO;2002;15285594828.418
AGO;2003;17812705294.325
AGO;2004;23552052407.5488
AGO;2005;36970918699.2523
AGO;2006;52381006892.038
AGO;2007;65266452081.386
AGO;2008;88538611205.1433
AGO;2009;70307163678.238
AGO;2010;83799496611.2004
AGO;2011;111789686464.441
AGO;2012;128052853643.106
AGO;2013;136709862831.194
AGO;2014;145712200312.505
AGO;2015;116193649124.151
AGO;2016;101123851090.455
AGO;2017;122123822333.59
AGO;2018;101353230784.594
AGO;2019;88815697793.303
ATG;1977;77496753.7037037
ATG;1978;87879341.4814815
ATG;1979;109079978.888889
ATG;1980;131431026.666667
ATG;1981;147841734.444444
ATG;1982;164369278.888889
ATG;1983;182144092.962963
ATG;1984;208372846.296296
ATG;1985;240923924.814815
ATG;1986;290440140.740741
ATG;1987;337174861.851852
ATG;1988;398637727.777778
ATG;1989;438794788.518519
ATG;1990;459470370.37037
ATG;1991;481707407.407407
ATG;1992;499281481.481481
ATG;1993;535174074.074074
ATG;1994;589429629.62963
ATG;1995;577281481.481481
ATG;1996;633729629.62963
ATG;1997;680618518.518518
ATG;1998;727859259.259259
ATG;1999;766200000
ATG;2000;826370370.37037
ATG;2001;800481481.481481
ATG;2002;814381481.481481
ATG;2003;856396296.296296
ATG;2004;919729629.62963
ATG;2005;1022962962.96296
ATG;2006;1157662962.96296
ATG;2007;1312759259.25926
ATG;2008;1370070370.37037
ATG;2009;1228329629.62963
ATG;2010;1148700000
ATG;2011;1137637037.03704
ATG;2012;1199948148.14815
ATG;2013;1181448148.14815
ATG;2014;1249733333.33333
ATG;2015;1336692592.59259
ATG;2016;1436585185.18519
ATG;2017;1467977777.77778
ATG;2018;1605351851.85185
ATG;2019;1661962962.96296
ARG;1962;24450604877.6081
ARG;1963;18272123664.4715
ARG;1964;25605249381.7597
ARG;1965;28344705966.6389
ARG;1966;28630474727.9023
ARG;1967;24256667553.2569
ARG;1968;26436857247.4982
ARG;1969;31256284543.6155
ARG;1970;31584210365.5447
ARG;1971;33293199095.4881
ARG;1972;34733000536.2862
ARG;1973;52544000116.9037
ARG;1974;72436777342.4554
ARG;1975;52438647921.9226
ARG;1976;51169499890.7722
ARG;1977;56781000100.9448
ARG;1978;58082870156.2634
ARG;1979;69252328953.3789
ARG;1980;76961923741.9479
ARG;1981;78676842366.4213
ARG;1982;84307486836.724
ARG;1983;103979106777.911
ARG;1984;79092001998.032
ARG;1985;88416668900.2596
ARG;1986;110934442762.694
ARG;1987;111106191358.197
ARG;1988;126206817196.091
ARG;1989;76636898036.4712
ARG;1990;141352368714.691
ARG;1991;189719984268.485
ARG;1992;228788617201.696
ARG;1993;236741715015.015
ARG;1994;257440000000
ARG;1995;258031750000
ARG;1996;272149750000
ARG;1997;292859000000
ARG;1998;298948250000
ARG;1999;283523000000
ARG;2000;284203750000
ARG;2001;268696750000
ARG;2002;97724004251.8602
ARG;2003;127586973492.177
ARG;2004;164657930452.787
ARG;2005;198737095012.282
ARG;2006;232557260817.308
ARG;2007;287530508430.568
ARG;2008;361558037110.419
ARG;2009;332976484577.619
ARG;2010;423627422092.49
ARG;2011;530163281574.658
ARG;2012;545982375701.128
ARG;2013;552025140252.246
ARG;2014;526319673731.638
ARG;2015;594749285413.212
ARG;2016;557531376217.967
ARG;2017;643628665302.668
ARG;2018;517626700412.718
ARG;2019;445445177459.426
ARM;1990;2256838858.42714
ARM;1991;2068526521.90299
ARM;1992;1272577456.12712
ARM;1993;1201313201.01272
ARM;1994;1315158670.28285
ARM;1995;1468317350.06841
ARM;1996;1596968913.27897
ARM;1997;1639492424.36472
ARM;1998;1893726437.26462
ARM;1999;1845482181.44801
ARM;2000;1911563665.39006
ARM;2001;2118467913.37873
ARM;2002;2376335048.39976
ARM;2003;2807061008.69084
ARM;2004;3576615240.41616
ARM;2005;4900469950.09033
ARM;2006;6384451606.1421
ARM;2007;9206301700.39619
ARM;2008;11662040713.8753
ARM;2009;8647936747.98704
ARM;2010;9260284937.79781
ARM;2011;10142111334.4961
ARM;2012;10619320048.5857
ARM;2013;11121465767.4067
ARM;2014;11609512939.7542
ARM;2015;10553337672.9872
ARM;2016;10546135160.031
ARM;2017;11527458565.7334
ARM;2018;12457941907.0333
ARM;2019;13672802157.8324
ABW;1986;405463417.11746
ABW;1987;487602457.746416
ABW;1988;596423607.114715
ABW;1989;695304363.031101
ABW;1990;764887117.194486
ABW;1991;872138715.083799
ABW;1992;958463184.357542
ABW;1993;1082979720.67039
ABW;1994;1245688268.15642
ABW;1995;1320474860.3352
ABW;1996;1379960893.85475
ABW;1997;1531944134.07821
ABW;1998;1665100558.65922
ABW;1999;1722798882.68156
ABW;2000;1873452513.96648
ABW;2001;1920111731.84358
ABW;2002;1941340782.12291
ABW;2003;2021229050.27933
ABW;2004;2228491620.11173
ABW;2005;2330726256.98324
ABW;2006;2424581005.58659
ABW;2007;2615083798.88268
ABW;2008;2745251396.64804
ABW;2009;2498882681.56425
ABW;2010;2390502793.29609
ABW;2011;2549720670.39106
ABW;2012;2534636871.50838
ABW;2013;2701675977.65363
ABW;2014;2765363128.49162
ABW;2015;2919553072.6257
ABW;2016;2965921787.7095
ABW;2017;3056424581.00559
AUS;1960;18577668271.9229
AUS;1961;19652816664.8001
AUS;1962;19892485160.7123
AUS;1963;21507447642.5132
AUS;1964;23764139321.3126
AUS;1965;25936835031.9185
AUS;1966;27268451114.3465
AUS;1967;30397580916.116
AUS;1968;32665472057.3412
AUS;1969;36628961809.8331
AUS;1970;41271138985.3287
AUS;1971;45149512823.3845
AUS;1972;51967289719.6262
AUS;1973;63737347853.9398
AUS;1974;88831245394.252
AUS;1975;97171924074.8327
AUS;1976;104921215177.108
AUS;1977;110201881165.405
AUS;1978;118338596886.984
AUS;1979;134712029989.776
AUS;1980;149776044568.245
AUS;1981;176642284918.147
AUS;1982;193770274743.462
AUS;1983;177030416471.689
AUS;1984;193242166274.226
AUS;1985;180235483623.533
AUS;1986;182036933407.946
AUS;1987;189061672842.774
AUS;1988;235658469150.175
AUS;1989;299272046250.305
AUS;1990;310781069642.17
AUS;1991;325315909269.288
AUS;1992;324884257479.043
AUS;1993;311549325463.744
AUS;1994;322213766862.677
AUS;1995;367216364716.365
AUS;1996;400302731411.229
AUS;1997;434568007512.913
AUS;1998;398899138574.239
AUS;1999;388608221581.652
AUS;2000;415222633925.768
AUS;2001;378376086723.194
AUS;2002;394648911678.527
AUS;2003;466488060570.763
AUS;2004;612490396927.017
AUS;2005;693407758231.845
AUS;2006;746054207846.661
AUS;2007;853099630996.31
AUS;2008;1053995523724.26
AUS;2009;927805183330.879
AUS;2010;1146138465603.81
AUS;2011;1396649906339.35
AUS;2012;1546151783872.96
AUS;2013;1576184467015.49
AUS;2014;1467483705131.74
AUS;2015;1351693984524.5
AUS;2016;1208846993739.99
AUS;2017;1329188475752.32
AUS;2018;1432881172002.17
AUS;2019;1396567014733.23
AUT;1960;6592693841.18495
AUT;1961;7311749633.36229
AUT;1962;7756110210.11966
AUT;1963;8374175257.73075
AUT;1964;9169983885.71185
AUT;1965;9994070615.85997
AUT;1966;10887682273.1014
AUT;1967;11579431668.9165
AUT;1968;12440625312.8685
AUT;1969;13582798556.2404
AUT;1970;15373005557.0257
AUT;1971;17858486066.7474
AUT;1972;22059612476.9332
AUT;1973;29515467706.796
AUT;1974;35189299911.6608
AUT;1975;40059206763.056
AUT;1976;42959976221.5234
AUT;1977;51545758887.6863
AUT;1978;62052259073.2493
AUT;1979;73937296963.4586
AUT;1980;82058912997.2346
AUT;1981;71034228443.062
AUT;1982;71275287569.5733
AUT;1983;72121016546.6524
AUT;1984;67985344886.8716
AUT;1985;69386774408.0872
AUT;1986;99036164939.1618
AUT;1987;124168442533.74
AUT;1988;133339397080.129
AUT;1989;133105805512.22
AUT;1990;166463386179.354
AUT;1991;173794177961.108
AUT;1992;195078126721.763
AUT;1993;190379720809.18
AUT;1994;203535242741.838
AUT;1995;241038283062.645
AUT;1996;237250948791.266
AUT;1997;212790348404.555
AUT;1998;218259904401.956
AUT;1999;217185787342.851
AUT;2000;196799778883.361
AUT;2001;197337879194.631
AUT;2002;213377771503.858
AUT;2003;261695778781.038
AUT;2004;300904221504.842
AUT;2005;315974418604.651
AUT;2006;335998557270.104
AUT;2007;388691445387.353
AUT;2008;430294287388.311
AUT;2009;400172297860.517
AUT;2010;391892746544.69
AUT;2011;431120310088.82
AUT;2012;409425234155.263
AUT;2013;430068712971.867
AUT;2014;441996131736.508
AUT;2015;381817565893.574
AUT;2016;395568644341.038
AUT;2017;417237869115.93
AUT;2018;455094861902.062
AUT;2019;445075391688.156
AZE;1990;8858006035.91566
AZE;1991;8792365810.5094
AZE;1992;4991350457.5425
AZE;1993;3970953395.51544
AZE;1994;3313939553.5418
AZE;1995;3052467522.36104
AZE;1996;3176703092.30412
AZE;1997;3962735257.21455
AZE;1998;4446370371.15023
AZE;1999;4581246713.32066
AZE;2000;5272617196.04517
AZE;2001;5707720390.8515
AZE;2002;6235856819.58445
AZE;2003;7276013031.96905
AZE;2004;8680370408.05943
AZE;2005;13245716099.0057
AZE;2006;20982986344.3027
AZE;2007;33050343782.7759
AZE;2008;48852482960.0779
AZE;2009;44291490420.5026
AZE;2010;52902703376.1056
AZE;2011;65951627200.2026
AZE;2012;69683935845.2139
AZE;2013;74164435946.4627
AZE;2014;75244294275.1498
AZE;2015;53074370486.0433
AZE;2016;37867518957.1975
AZE;2017;40865558912.3867
AZE;2018;47112941176.4706
AZE;2019;48047647058.8235
BHS;1960;169803921.568627
BHS;1961;190098039.215686
BHS;1962;212254901.960784
BHS;1963;237745098.039216
BHS;1964;266666666.666667
BHS;1965;300392156.862745
BHS;1966;340000000
BHS;1967;390196078.431373
BHS;1968;444901960.784314
BHS;1969;528137254.901961
BHS;1970;538423153.692615
BHS;1971;573400000
BHS;1972;590900000
BHS;1973;670900000
BHS;1974;632400000
BHS;1975;596200000
BHS;1976;642100000
BHS;1977;713000000
BHS;1978;832400000
BHS;1979;1139800100
BHS;1980;1335300000
BHS;1981;1426500000
BHS;1982;1578300000
BHS;1983;1732800000
BHS;1984;2041100000
BHS;1985;2320699900
BHS;1986;2472500000
BHS;1987;2713999900
BHS;1988;2817900000
BHS;1989;3062000000
BHS;1990;3166000000
BHS;1991;3111160000
BHS;1992;3109000000
BHS;1993;3092000000
BHS;1994;3259000000
BHS;1995;3429000000
BHS;1996;3609000000
BHS;1997;6332360000
BHS;1998;6833220000
BHS;1999;7683870000
BHS;2000;8076470000
BHS;2001;8317830000
BHS;2002;8881160000
BHS;2003;8870090000
BHS;2004;9055290000
BHS;2005;9836200000
BHS;2006;10167250000
BHS;2007;10618340000
BHS;2008;10526000000
BHS;2009;9981960000
BHS;2010;10095760000
BHS;2011;10070450000
BHS;2012;10720500000
BHS;2013;10568400000
BHS;2014;11111600000
BHS;2015;11710800000
BHS;2016;11928500000
BHS;2017;12490700000
BHS;2018;13022100000
BHS;2019;13578800000
BHR;1980;3072698328.46909
BHR;1981;3467819148.93617
BHR;1982;3645744680.85106
BHR;1983;3735106382.97872
BHR;1984;3905585106.38298
BHR;1985;3651861702.12766
BHR;1986;3052393617.02128
BHR;1987;3392021010.6383
BHR;1988;3702393617.02128
BHR;1989;3863563829.78723
BHR;1990;4229787234.04255
BHR;1991;4616223404.25532
BHR;1992;4751063829.78723
BHR;1993;5200265957.44681
BHR;1994;5567553457.44681
BHR;1995;5849467819.14894
BHR;1996;6101861436.17021
BHR;1997;6349202393.61702
BHR;1998;6183776595.74468
BHR;1999;6621010372.34043
BHR;2000;9062898936.17021
BHR;2001;8976196808.51064
BHR;2002;9593510638.29787
BHR;2003;11074813829.7872
BHR;2004;13150159574.4681
BHR;2005;15968723404.2553
BHR;2006;18504760638.2979
BHR;2007;21730000000
BHR;2008;25710904255.3191
BHR;2009;22938218085.1064
BHR;2010;25713271276.5957
BHR;2011;28776595744.6809
BHR;2012;30749308510.6383
BHR;2013;32539468085.1064
BHR;2014;33387712765.9574
BHR;2015;31050638297.8723
BHR;2016;32234973404.2553
BHR;2017;35473776595.7447
BHR;2018;37652500000
BHR;2019;38574069148.9362
BGD;1960;4274893913.49536
BGD;1961;4817580183.60155
BGD;1962;5081413339.78635
BGD;1963;5319458351.16235
BGD;1964;5386054619.34987
BGD;1965;5906636557.00092
BGD;1966;6439687598.32325
BGD;1967;7253575399.3215
BGD;1968;7483685473.51275
BGD;1969;8471006100.95399
BGD;1970;8992721809.39332
BGD;1971;8751842839.79658
BGD;1972;6288245866.66667
BGD;1973;8086725729.3407
BGD;1974;12512460519.7088
BGD;1975;19448348073.4565
BGD;1976;10117113333.3333
BGD;1977;9651149301.8746
BGD;1978;13281767142.8571
BGD;1979;15565480321.9448
BGD;1980;18138049095.6072
BGD;1981;20249694002.448
BGD;1982;18525399201.5968
BGD;1983;17609048821.5488
BGD;1984;18920840000
BGD;1985;22278423076.9231
BGD;1986;21774033333.3333
BGD;1987;24298032258.0645
BGD;1988;26579005760.3486
BGD;1989;28781714763.8012
BGD;1990;31598341233.559
BGD;1991;30957483949.5798
BGD;1992;31708874594.1645
BGD;1993;33166519417.9894
BGD;1994;33768660882.793
BGD;1995;37939748768.6567
BGD;1996;46438484107.5795
BGD;1997;48244309133.4895
BGD;1998;49984559471.3656
BGD;1999;51270569883.5275
BGD;2000;53369787318.6245
BGD;2001;53991289844.3291
BGD;2002;54724081490.5102
BGD;2003;60158929188.2556
BGD;2004;65108544250.0425
BGD;2005;69442943089.4309
BGD;2006;71819083683.7403
BGD;2007;79611888213.148
BGD;2008;91631278239.3237
BGD;2009;102477791472.39
BGD;2010;115279077465.226
BGD;2011;128637938711.386
BGD;2012;133355749482.478
BGD;2013;149990451022.29
BGD;2014;172885454931.453
BGD;2015;195078678697.23
BGD;2016;221415188000.475
BGD;2017;249711027660.253
BGD;2018;274039092455.306
BGD;2019;302571254131.135
BRB;1974;311809337.474355
BRB;1975;402178605.019554
BRB;1976;435911268.58968
BRB;1977;495097667.929041
BRB;1978;552883707.055138
BRB;1979;670362452.145379
BRB;1980;1012280614.52792
BRB;1981;1114204743.20091
BRB;1982;1163923830.35847
BRB;1983;1236016506.73694
BRB;1984;1346890071.09829
BRB;1985;1409536120.91682
BRB;1986;1547755183.21484
BRB;1987;1704370307.76115
BRB;1988;1812757917.76463
BRB;1989;2006165166.80754
BRB;1990;2012131457.26644
BRB;1991;2020583702.08323
BRB;1992;1957000000
BRB;1993;2063342117.03873
BRB;1994;2151344901.30761
BRB;1995;2216974096.35559
BRB;1996;2363645403.47039
BRB;1997;2498384129.66738
BRB;1998;2817083478.34734
BRB;1999;2951822204.54432
BRB;2000;3059500000
BRB;2001;3054500000
BRB;2002;3106500000
BRB;2003;3209500000
BRB;2004;3444500000
BRB;2005;3819500000
BRB;2006;4217500000
BRB;2007;4674000000
BRB;2008;4785000000
BRB;2009;4465500000
BRB;2010;4530000000
BRB;2011;4657500000
BRB;2012;4610000000
BRB;2013;4677000000
BRB;2014;4696500000
BRB;2015;4715000000
BRB;2016;4830000000
BRB;2017;4978000000
BRB;2018;5086500000
BRB;2019;5209000000
BLR;1990;21650000000
BLR;1991;18000000000
BLR;1992;17037037037.037
BLR;1993;16280991735.5372
BLR;1994;14932024169.1843
BLR;1995;13972676840.918
BLR;1996;14756846153.8462
BLR;1997;14128408565.7064
BLR;1998;15222012660.4232
BLR;1999;12138486532.0203
BLR;2000;12736856827.9847
BLR;2001;12354820143.8849
BLR;2002;14594249022.8922
BLR;2003;17827791321.3067
BLR;2004;23144351851.8519
BLR;2005;30207567316.6202
BLR;2006;36954312354.3124
BLR;2007;45277399813.6067
BLR;2008;60763483146.0674
BLR;2009;50874078052.2735
BLR;2010;57222490768.7143
BLR;2011;61757788944.7236
BLR;2012;65685102554.8759
BLR;2013;75527984234.2342
BLR;2014;78813839984.3506
BLR;2015;56454734396.5842
BLR;2016;47722657820.6675
BLR;2017;54726595249.1849
BLR;2018;60031262269.3365
BLR;2019;63080457022.6599
BEL;1960;11658722590.99
BEL;1961;12400145221.595
BEL;1962;13264015675.3193
BEL;1963;14260017387.0492
BEL;1964;15960106680.6732
BEL;1965;17371457607.9374
BEL;1966;18651883472.4808
BEL;1967;19992040788.4593
BEL;1968;21376353113.475
BEL;1969;23710735894.7022
BEL;1970;26706196046.7931
BEL;1971;29821661869.912
BEL;1972;37209418018.5134
BEL;1973;47743801490.3747
BEL;1974;56033077879.0389
BEL;1975;65678189097.2908
BEL;1976;71113882967.6071
BEL;1977;82839905458.6382
BEL;1978;101246526194.441
BEL;1979;116315456796.918
BEL;1980;126829314388.191
BEL;1981;104730018470.23
BEL;1982;92095926187.5331
BEL;1983;87184239053.2544
BEL;1984;83349530159.1734
BEL;1985;86268264148.3796
BEL;1986;120018787249.413
BEL;1987;149394404105.889
BEL;1988;162299103675.261
BEL;1989;164221056511.057
BEL;1990;205331747947.851
BEL;1991;210510999409.333
BEL;1992;234781652446.675
BEL;1993;224721795708.955
BEL;1994;244884129491.198
BEL;1995;288025588396.278
BEL;1996;279201433224.756
BEL;1997;252708051420.839
BEL;1998;258528339631.029
BEL;1999;258158533986.789
BEL;2000;236204532891.1
BEL;2001;236541297539.15
BEL;2002;257157820440.429
BEL;2003;317381715575.621
BEL;2004;368537000248.324
BEL;2005;385570948886.954
BEL;2006;407918078032.869
BEL;2007;470324254037.777
BEL;2008;515223524241.98
BEL;2009;481345929424.84
BEL;2010;480951629493.033
BEL;2011;522645519183.591
BEL;2012;496181260258.3
BEL;2013;521642714407.843
BEL;2014;534678075827.361
BEL;2015;462149679343.822
BEL;2016;475739588764.759
BEL;2017;502698069366.942
BEL;2018;543734366831.215
BEL;2019;533097455834.509
BLZ;1960;28071888.5622288
BLZ;1961;29964370.7125857
BLZ;1962;31856922.8615428
BLZ;1963;33749405.0118998
BLZ;1964;36193826.1234775
BLZ;1965;40069930.0699301
BLZ;1966;44405594.4055944
BLZ;1967;47379310.3448276
BLZ;1968;44910179.6407186
BLZ;1969;47305389.2215569
BLZ;1970;53233532.9341317
BLZ;1971;59207317.0731707
BLZ;1972;66062500
BLZ;1973;78343558.2822086
BLZ;1974;103216374.269006
BLZ;1975;118066298.342541
BLZ;1976;96905829.5964126
BLZ;1977;117650000
BLZ;1978;136300000
BLZ;1979;151800000
BLZ;1980;197938222.429283
BLZ;1981;196089854.656347
BLZ;1982;182206326.985709
BLZ;1983;192103185.955321
BLZ;1984;214381949.019381
BLZ;1985;212643742.664706
BLZ;1986;231638320.535566
BLZ;1987;281082558.5859
BLZ;1988;320093360.27245
BLZ;1989;369133890.704745
BLZ;1990;412086445.492176
BLZ;1991;444720750
BLZ;1992;518239100
BLZ;1993;559858250
BLZ;1994;580863700
BLZ;1995;620140400
BLZ;1996;641383800
BLZ;1997;654314350
BLZ;1998;688992450
BLZ;1999;732750000
BLZ;2000;832050000
BLZ;2001;868350000
BLZ;2002;925050000
BLZ;2003;983500000
BLZ;2004;1051350000
BLZ;2005;1102050000
BLZ;2006;1210150000
BLZ;2007;1271600000
BLZ;2008;1351350000
BLZ;2009;1317300000
BLZ;2010;1377200000
BLZ;2011;1460800000
BLZ;2012;1522900000
BLZ;2013;1579400000
BLZ;2014;1662800000
BLZ;2015;1723800000
BLZ;2016;1775100000
BLZ;2017;1836600000
BLZ;2018;1871200000
BLZ;2019;1879613600
BEN;1960;226195579.35701
BEN;1961;235668222.429984
BEN;1962;236434906.75427
BEN;1963;253927646.475909
BEN;1964;269818988.259263
BEN;1965;289908720.648622
BEN;1966;302925280.773564
BEN;1967;306222000.407316
BEN;1968;326323097.355964
BEN;1969;330748211.459737
BEN;1970;333627758.154666
BEN;1971;335072975.215766
BEN;1972;410331900.950531
BEN;1973;504376035.716401
BEN;1974;554654786.965107
BEN;1975;676870140.341529
BEN;1976;698408244.385343
BEN;1977;750049739.152238
BEN;1978;928843304.783965
BEN;1979;1186231265.18417
BEN;1980;1405251547.23882
BEN;1981;1291119965.11262
BEN;1982;1267778489.03079
BEN;1983;1095348302.91865
BEN;1984;1051133927.00009
BEN;1985;1045712703.02696
BEN;1986;1336102040.71025
BEN;1987;1562412030.34838
BEN;1988;1620246187.15171
BEN;1989;1502294411.46202
BEN;1990;1959965243.76269
BEN;1991;1986437859.90346
BEN;1992;1695315305.70308
BEN;1993;2274557914.07481
BEN;1994;1598075932.35432
BEN;1995;2169627250.93379
BEN;1996;2361116587.86079
BEN;1997;2268301537.65128
BEN;1998;2455092582.30927
BEN;1999;3676045652.8197
BEN;2000;3511248899.71759
BEN;2001;3663017699.61605
BEN;2002;4174634520.35486
BEN;2003;5337266687.57742
BEN;2004;6179176459.36434
BEN;2005;6565043459.50021
BEN;2006;7027863025.13664
BEN;2007;8158257571.77422
BEN;2008;9748276762.24466
BEN;2009;9699586794.44956
BEN;2010;9535344283.47295
BEN;2011;10693321953.6355
BEN;2012;11141358945.1349
BEN;2013;12517845732.2095
BEN;2014;13284528654.0574
BEN;2015;11388160958.249
BEN;2016;11821066152.5979
BEN;2017;12701656930.6889
BEN;2018;14250985958.6727
BEN;2019;14390709094.9386
BMU;1960;84466654.0801544
BMU;1961;89249986.7007156
BMU;1962;94149985.9705588
BMU;1963;96366652.3069165
BMU;1964;107566650.637987
BMU;1965;114339048.962736
BMU;1966;134173373.782802
BMU;1967;155102984.621576
BMU;1968;150000000
BMU;1969;164900000
BMU;1970;186300000
BMU;1971;211100000
BMU;1972;235400000
BMU;1973;269500000
